toolCode,toolName,userId,software,timestampLocalUser,timeSavedMinutes,toolCreator,methodOfCalc,userPcNumber
TBF,TitleBlockFindnReplace,Vince.Bombardiere,Revit Version - 2020.2,27/06/2022 18:27:10,168.3,Vince.Bombardiere,Original =((3×7.5×60 (3 days in min⁡ )))/(560(number of drawings))=1350/560=2.41 min/drawing. new =(4×60 (4hr in min))/(560(number of drawings))=240/560=0.43 min/drawing. Time saved per sheet = 1.98min/drawing (Original - new),SYDLTCND12774VQ
TBF1,,,,,,,,
